Dt,Price,Open,High,Low,Vol.,Change %
04/30/21,"1,768.60","1,772.85","1,772.85","1,763.40",-,-0.24%
04/29/21,"1,772.85","1,783.80","1,789.85","1,754.85",-,-0.02%
04/28/21,"1,773.20","1,768.20","1,774.00","1,764.60",0.14K,-0.27%
04/27/21,"1,778.00","1,780.00","1,782.00","1,777.70",0.12K,-0.07%
04/26/21,"1,779.20","1,778.00","1,779.70","1,770.80",0.55K,0.12%
04/23/21,"1,777.00","1,786.10","1,794.50","1,772.00",0.33K,-0.24%
04/22/21,"1,781.20","1,794.20","1,794.20","1,779.50",0.16K,-0.62%
04/21/21,"1,792.30","1,783.00","1,794.10","1,777.70",0.25K,0.84%
04/20/21,"1,777.30","1,769.30","1,776.30","1,765.50",1.46K,0.45%
04/19/21,"1,769.40","1,782.10","1,788.50","1,771.40",0.14K,-0.54%
04/16/21,"1,779.00","1,770.40","1,779.50","1,770.10",0.63K,0.77%
04/15/21,"1,765.40","1,740.10","1,767.90","1,740.10",0.37K,1.76%
04/14/21,"1,734.90","1,741.30","1,745.90","1,732.70",1.04K,-0.65%
04/13/21,"1,746.20","1,733.80","1,746.90","1,722.10",0.37K,0.87%
04/12/21,"1,731.20","1,740.80","1,740.80","1,726.70",0.04K,-0.69%
04/09/21,"1,743.30","1,750.80","1,750.80","1,733.30",0.48K,-0.77%
04/08/21,"1,756.80","1,736.00","1,758.00","1,734.60",1.30K,0.96%
04/07/21,"1,740.10","1,742.70","1,742.70","1,733.70",0.56K,-0.08%
04/06/21,"1,741.50","1,726.90","1,744.80","1,726.90",0.89K,0.84%
04/05/21,"1,727.00","1,727.90","1,729.70","1,721.90",0.28K,0.03%
04/01/21,"1,726.50","1,706.80","1,728.80","1,706.40",0.72K,0.74%
03/31/21,"1,713.80","1,683.70","1,712.80","1,676.50",0.76K,1.78%
03/30/21,"1,683.90","1,711.00","1,712.60","1,676.50",25.32K,-1.65%
03/29/21,"1,712.20","1,731.50","1,732.60","1,703.30",135.46K,-1.16%
03/26/21,"1,732.30","1,725.50","1,735.50","1,718.80",172.94K,0.42%
03/25/21,"1,725.10","1,733.20","1,744.80","1,720.30",226.21K,-0.47%
03/24/21,"1,733.20","1,725.90","1,737.70","1,722.30",186.52K,0.47%
03/23/21,"1,725.10","1,738.50","1,742.00","1,722.70",226.20K,-0.75%
03/22/21,"1,738.10","1,745.60","1,747.00","1,726.40",196.31K,-0.21%
03/19/21,"1,741.70","1,733.70","1,746.10","1,727.10",213.28K,0.53%
03/18/21,"1,732.50","1,744.00","1,754.20","1,716.60",251.76K,0.31%
03/17/21,"1,727.10","1,730.00","1,750.60","1,722.00",220.55K,-0.22%
03/16/21,"1,730.90","1,730.70","1,740.50","1,724.40",173.89K,0.10%
03/15/21,"1,729.20","1,726.50","1,733.20","1,719.20",163.05K,0.55%
03/12/21,"1,719.80","1,720.50","1,728.00","1,696.60",232.21K,-0.16%
03/11/21,"1,722.60","1,725.00","1,738.00","1,716.80",215.34K,0.05%
03/10/21,"1,721.80","1,714.50","1,725.30","1,705.60",226.89K,0.29%
03/09/21,"1,716.90","1,679.30","1,718.70","1,676.70",248.95K,2.32%
03/08/21,"1,678.00","1,701.60","1,712.00","1,673.30",273.91K,-1.21%
03/05/21,"1,698.50","1,695.30","1,705.70","1,683.00",269.33K,-0.13%
